Profile;Social network;Number of Reactions, Comments & Shares;Profile-ID;Link;
"Pablo Marçal";INSTAGRAM;3.7092407E7;3441443082;https://www.fanpagekarma.com/discovery?view=PROFILES&id=3441443082&n=INSTAGRAM&tl0=profiles;
"Guilherme Boulos 50";INSTAGRAM;2677492.0;6906581719;https://www.fanpagekarma.com/discovery?view=PROFILES&id=6906581719&n=INSTAGRAM&tl0=profiles;
"Tabata Amaral 40";INSTAGRAM;1807953.0;3256423663;https://www.fanpagekarma.com/discovery?view=PROFILES&id=3256423663&n=INSTAGRAM&tl0=profiles;
"Pablo Marçal";TWITTER;1658395.0;191223319;https://www.fanpagekarma.com/discovery?view=PROFILES&id=191223319&n=TWITTER&tl0=profiles;
"Tabata Amaral";TIKTOK;1360918.0;6801892589312066566;https://www.fanpagekarma.com/discovery?view=PROFILES&id=6801892589312066566&n=TIKTOK&tl0=profiles;
"Pablo Marçal";YOUTUBE;1128643.0;UCbroBIg8zvIH8-F4631wJhA;https://www.fanpagekarma.com/discovery?view=PROFILES&id=UCbroBIg8zvIH8-F4631wJhA&n=YOUTUBE&tl0=profiles;
"Pablo Marçal";TIKTOK;956432.0;6733189987145696261;https://www.fanpagekarma.com/discovery?view=PROFILES&id=6733189987145696261&n=TIKTOK&tl0=profiles;
"Guilherme Boulos 50";TWITTER;667765.0;762402774260875265;https://www.fanpagekarma.com/discovery?view=PROFILES&id=762402774260875265&n=TWITTER&tl0=profiles;
"Tabata Amaral";TWITTER;394813.0;1001251931812220928;https://www.fanpagekarma.com/discovery?view=PROFILES&id=1001251931812220928&n=TWITTER&tl0=profiles;
"Guilherme Boulos";TIKTOK;392731.0;6785593085721101318;https://www.fanpagekarma.com/discovery?view=PROFILES&id=6785593085721101318&n=TIKTOK&tl0=profiles;
"Ricardo Nunes 15";INSTAGRAM;289970.0;1619114179;https://www.fanpagekarma.com/discovery?view=PROFILES&id=1619114179&n=INSTAGRAM&tl0=profiles;
"Guilherme Boulos";YOUTUBE;211811.0;UCFwzvNKpQWKMbiOHJ26IEnQ;https://www.fanpagekarma.com/discovery?view=PROFILES&id=UCFwzvNKpQWKMbiOHJ26IEnQ&n=YOUTUBE&tl0=profiles;
"José Luiz Datena 4️⃣5️⃣";INSTAGRAM;163825.0;2366111031;https://www.fanpagekarma.com/discovery?view=PROFILES&id=2366111031&n=INSTAGRAM&tl0=profiles;
"Ricardo Nunes";TWITTER;35784.0;460160411;https://www.fanpagekarma.com/discovery?view=PROFILES&id=460160411&n=TWITTER&tl0=profiles;
"Tabata Amaral";FACEBOOK;35706.0;201596403728972;https://www.fanpagekarma.com/discovery?view=PROFILES&id=201596403728972&n=FACEBOOK&tl0=profiles;
"Datena";FACEBOOK;25282.0;1681371632112133;https://www.fanpagekarma.com/discovery?view=PROFILES&id=1681371632112133&n=FACEBOOK&tl0=profiles;
"Pablo Marçal";FACEBOOK;24573.0;1724320034474762;https://www.fanpagekarma.com/discovery?view=PROFILES&id=1724320034474762&n=FACEBOOK&tl0=profiles;
"Tabata Amaral";YOUTUBE;19174.0;UCWcx5M5negY_kqSawo2bjZQ;https://www.fanpagekarma.com/discovery?view=PROFILES&id=UCWcx5M5negY_kqSawo2bjZQ&n=YOUTUBE&tl0=profiles;
"Ricardo Nunes";FACEBOOK;16515.0;345006865569895;https://www.fanpagekarma.com/discovery?view=PROFILES&id=345006865569895&n=FACEBOOK&tl0=profiles;
"Datena";TIKTOK;15522.0;7387823311872443398;https://www.fanpagekarma.com/discovery?view=PROFILES&id=7387823311872443398&n=TIKTOK&tl0=profiles;
"Canal do Datena";YOUTUBE;2246.0;UCIi4Rliq-oSp6RR1yWXKySw;https://www.fanpagekarma.com/discovery?view=PROFILES&id=UCIi4Rliq-oSp6RR1yWXKySw&n=YOUTUBE&tl0=profiles;
