Profile;Social network;Fans;Average;Profile-ID;Link;
"Pablo Marçal";INSTAGRAM;1.3162316E7;1642121.8;3441443082;https://www.fanpagekarma.com/discovery?view=PROFILES&id=3441443082&n=INSTAGRAM&tl0=profiles;
"Pablo Marçal";YOUTUBE;3680000.0;1642121.8;UCbroBIg8zvIH8-F4631wJhA;https://www.fanpagekarma.com/discovery?view=PROFILES&id=UCbroBIg8zvIH8-F4631wJhA&n=YOUTUBE&tl0=profiles;
"Pablo Marçal";TIKTOK;2600000.0;1642121.8;6733189987145696261;https://www.fanpagekarma.com/discovery?view=PROFILES&id=6733189987145696261&n=TIKTOK&tl0=profiles;
"Guilherme Boulos 50";INSTAGRAM;2313063.0;1642121.8;6906581719;https://www.fanpagekarma.com/discovery?view=PROFILES&id=6906581719&n=INSTAGRAM&tl0=profiles;
"Guilherme Boulos 50";TWITTER;2254389.0;1642121.8;762402774260875265;https://www.fanpagekarma.com/discovery?view=PROFILES&id=762402774260875265&n=TWITTER&tl0=profiles;
"Tabata Amaral 40";INSTAGRAM;1587572.0;1642121.8;3256423663;https://www.fanpagekarma.com/discovery?view=PROFILES&id=3256423663&n=INSTAGRAM&tl0=profiles;
"Datena";FACEBOOK;1209646.0;1642121.8;1681371632112133;https://www.fanpagekarma.com/discovery?view=PROFILES&id=1681371632112133&n=FACEBOOK&tl0=profiles;
"Ricardo Nunes 15";INSTAGRAM;981383.0;1642121.8;1619114179;https://www.fanpagekarma.com/discovery?view=PROFILES&id=1619114179&n=INSTAGRAM&tl0=profiles;
"José Luiz Datena 4️⃣5️⃣";INSTAGRAM;962273.0;1642121.8;2366111031;https://www.fanpagekarma.com/discovery?view=PROFILES&id=2366111031&n=INSTAGRAM&tl0=profiles;
"Tabata Amaral";TIKTOK;708600.0;1642121.8;6801892589312066566;https://www.fanpagekarma.com/discovery?view=PROFILES&id=6801892589312066566&n=TIKTOK&tl0=profiles;
"Pablo Marçal";FACEBOOK;686656.0;1642121.8;1724320034474762;https://www.fanpagekarma.com/discovery?view=PROFILES&id=1724320034474762&n=FACEBOOK&tl0=profiles;
"Tabata Amaral";FACEBOOK;522245.0;1642121.8;201596403728972;https://www.fanpagekarma.com/discovery?view=PROFILES&id=201596403728972&n=FACEBOOK&tl0=profiles;
"Tabata Amaral";TWITTER;473092.0;1642121.8;1001251931812220928;https://www.fanpagekarma.com/discovery?view=PROFILES&id=1001251931812220928&n=TWITTER&tl0=profiles;
"Pablo Marçal";TWITTER;411182.0;1642121.8;191223319;https://www.fanpagekarma.com/discovery?view=PROFILES&id=191223319&n=TWITTER&tl0=profiles;
"Guilherme Boulos";YOUTUBE;403000.0;1642121.8;UCFwzvNKpQWKMbiOHJ26IEnQ;https://www.fanpagekarma.com/discovery?view=PROFILES&id=UCFwzvNKpQWKMbiOHJ26IEnQ&n=YOUTUBE&tl0=profiles;
"Guilherme Boulos";TIKTOK;397300.0;1642121.8;6785593085721101318;https://www.fanpagekarma.com/discovery?view=PROFILES&id=6785593085721101318&n=TIKTOK&tl0=profiles;
"Canal do Datena";YOUTUBE;229000.0;1642121.8;UCIi4Rliq-oSp6RR1yWXKySw;https://www.fanpagekarma.com/discovery?view=PROFILES&id=UCIi4Rliq-oSp6RR1yWXKySw&n=YOUTUBE&tl0=profiles;
"Ricardo Nunes";FACEBOOK;154201.0;1642121.8;345006865569895;https://www.fanpagekarma.com/discovery?view=PROFILES&id=345006865569895&n=FACEBOOK&tl0=profiles;
"Tabata Amaral";YOUTUBE;86851.0;1642121.8;UCWcx5M5negY_kqSawo2bjZQ;https://www.fanpagekarma.com/discovery?view=PROFILES&id=UCWcx5M5negY_kqSawo2bjZQ&n=YOUTUBE&tl0=profiles;
"Ricardo Nunes";TWITTER;19667.0;1642121.8;460160411;https://www.fanpagekarma.com/discovery?view=PROFILES&id=460160411&n=TWITTER&tl0=profiles;
